Data,Dim,Max_ACF,Max_Lag
Metabolite_gc,1,0.8276279431809684,10.32
Metabolite_gc,2,0.6094618201892492,0.06
Metabolite_lc,1,0.9066247262344447,9.48
Metabolite_lc,2,0.6993291077035345,23.28
Metabolite_interpolated_gc,1,0.9025175598101592,6.42
Metabolite_interpolated_gc,2,0.726094274594222,2.82
Metabolite_interpolated_lc,1,0.9242379500351983,10.14
Metabolite_interpolated_lc,2,0.6951425194289588,12.06
Metabolite_gc,1,0.8495969212623361,8.22
Metabolite_gc,2,0.6280402721892263,0
Metabolite_lc,1,0.8806629472470489,9.24
Metabolite_lc,2,0.7191710779730573,17.82
Metabolite_interpolated_gc,1,0.9061575737448992,7.5
Metabolite_interpolated_gc,2,0.7048998469456716,3.9000000000000004
Metabolite_interpolated_lc,1,0.9135355965872961,12.48
Metabolite_interpolated_lc,2,0.6483250380842268,25.38
Metabolite_gc,1,0.8391712693740662,8.16
Metabolite_gc,2,0.550944152065914,0
Metabolite_lc,1,0.8799602319659218,9.3
Metabolite_lc,2,0.7507665248814384,18.78
Metabolite_interpolated_gc,1,0.8803615308901445,8.040000000000001
Metabolite_interpolated_gc,2,0.7187699718215583,4.2
Metabolite_interpolated_lc,1,0.9066169443595358,10.14
Metabolite_interpolated_lc,2,0.6936204405369651,10.62
Metabolite_gc,1,0.8511415308734315,9.72
Metabolite_gc,2,0.6314738495636301,0
Metabolite_lc,1,0.8882086185439635,7.5600000000000005
Metabolite_lc,2,0.7039907068910711,13.56
Metabolite_interpolated_gc,1,0.9088171760076422,8.4
Metabolite_interpolated_gc,2,0.7088851839605591,5.64
Metabolite_interpolated_lc,1,0.9266774584885716,12.180000000000001
Metabolite_interpolated_lc,2,0.6824257096074196,18.78
Metabolite_gc,1,0.8252456530432407,7.08
Metabolite_gc,2,0.6142829313949465,0.42
Metabolite_lc,1,0.8681794006529675,10.500000000000002
Metabolite_lc,2,0.7302302310262341,18.48
Metabolite_interpolated_gc,1,0.9159074961691093,7.86
Metabolite_interpolated_gc,2,0.7430476864206619,0
Metabolite_interpolated_lc,1,0.935500687868439,11.22
Metabolite_interpolated_lc,2,0.6456950798284059,15.42
Metabolite_gc,1,0.8250123061867013,10.92
Metabolite_gc,2,0.6242011329119852,0
Metabolite_lc,1,0.8940890402201255,7.08
Metabolite_lc,2,0.7001313198640218,20.580000000000002
Metabolite_interpolated_gc,1,0.9220457546287492,7.74
Metabolite_interpolated_gc,2,0.7266243880169406,2.46
Metabolite_interpolated_lc,1,0.9054984279357352,12.48
Metabolite_interpolated_lc,2,0.6886072493371549,13.74
Metabolite_gc,1,0.8558886395772173,8.580000000000002
Metabolite_gc,2,0.5798768895885174,0
Metabolite_lc,1,0.8784705232041824,8.34
Metabolite_lc,2,0.7178358154797526,17.220000000000002
Metabolite_interpolated_gc,1,0.9182169969721943,7.92
Metabolite_interpolated_gc,2,0.7115922042946355,0
Metabolite_interpolated_lc,1,0.9060590767348441,10.74
Metabolite_interpolated_lc,2,0.6719280885273172,18.96
Metabolite_gc,1,0.8514885804847988,6.9
Metabolite_gc,2,0.6373150950943263,0
Metabolite_lc,1,0.8856020192391865,9.06
Metabolite_lc,2,0.6761471046034125,24.540000000000003
Metabolite_interpolated_gc,1,0.9046405515264003,10.38
Metabolite_interpolated_gc,2,0.7009244964136099,0
Metabolite_interpolated_lc,1,0.9200298947804927,10.86
Metabolite_interpolated_lc,2,0.663204625085115,9.66
Metabolite_gc,1,0.8288516481663066,8.64
Metabolite_gc,2,0.6196118146898861,0
Metabolite_lc,1,0.8741218074241782,9.540000000000001
Metabolite_lc,2,0.6991322794041778,19.14
Metabolite_interpolated_gc,1,0.9065419070245044,7.38
Metabolite_interpolated_gc,2,0.7002532244163446,1.02
Metabolite_interpolated_lc,1,0.8930633536435213,10.92
Metabolite_interpolated_lc,2,0.6871431702073542,10.92
Metabolite_gc,1,0.8402390934531863,7.38
Metabolite_gc,2,0.5970662423588361,0
Metabolite_lc,1,0.9011181006330466,10.74
Metabolite_lc,2,0.7033730577535938,11.88
Metabolite_interpolated_gc,1,0.8945283860934606,5.88
Metabolite_interpolated_gc,2,0.7277296985891266,4.92
Metabolite_interpolated_lc,1,0.9170897527524569,11.4
Metabolite_interpolated_lc,2,0.6765866078926228,12.78
Metabolite_gc,1,0.82717828358841206,8.82
Metabolite_gc,2,0.6241763814578757,0
Metabolite_lc,1,0.8962709939536363,11.58
Metabolite_lc,2,0.7038670152490352,20.1
Metabolite_interpolated_gc,1,0.8777151202175212,8.46
Metabolite_interpolated_gc,2,0.7328930200591138,1.14
